stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296829.549277,0.36576,0.15333,-0.00414,p2p[d=0.03],1,0.030,23.29
1739296829.673601,0.38701,0.15717,-0.00319,p2p[d=0.03],1,0.030,33.51
1739296829.790935,0.40557,0.16979,0.00254,p2p[d=0.03],1,0.030,17.64
1739296829.911150,0.43350,0.19383,-0.00380,p2p[d=0.03],1,0.030,17.43
1739296830.021415,0.45447,0.20474,-0.00588,p2p[d=0.03],1,0.030,17.27
1739296830.135281,0.46332,0.21356,-0.00334,p2p[d=0.03],1,0.030,19.28
1739296830.249362,0.48773,0.22507,-0.00128,p2p[d=0.03],1,0.030,28.79
1739296830.382500,0.51644,0.23664,-0.00066,p2p[d=0.03],1,0.030,30.97
1739296830.501484,0.53759,0.24677,-0.00262,p2p[d=0.03],1,0.030,30.33
1739296830.613086,0.55996,0.26314,-0.00221,p2p[d=0.03],1,0.030,24.74
1739296830.729519,0.57969,0.27485,-0.00005,p2p[d=0.03],1,0.030,18.12
1739296830.848330,0.59454,0.28917,-0.00198,p2p[d=0.03],1,0.030,18.63
1739296830.972351,0.62345,0.30232,0.00065,p2p[d=0.03],1,0.030,18.05
1739296831.085716,0.64202,0.31258,0.00128,p2p[d=0.03],1,0.030,33.19
1739296831.216255,0.66390,0.32414,-0.00208,p2p[d=0.03],1,0.030,19.25
1739296831.340896,0.68448,0.34271,-0.00130,p2p[d=0.03],1,0.030,21.77
1739296831.460403,0.70772,0.35626,-0.00498,p2p[d=0.03],1,0.030,29.46
1739296831.572326,0.73110,0.36798,-0.00415,p2p[d=0.03],1,0.030,19.49
1739296831.696811,0.75339,0.37095,-0.00105,p2p[d=0.03],1,0.030,21.35
1739296831.809428,0.77875,0.38084,-0.00625,p2p[d=0.03],1,0.030,19.11
1739296831.925486,0.80384,0.38815,-0.00518,p2p[d=0.03],1,0.030,33.85
1739296832.040565,0.82675,0.40013,-0.00459,p2p[d=0.03],1,0.030,19.49
1739296832.168494,0.84749,0.41480,-0.00198,p2p[d=0.03],1,0.030,18.28
1739296832.290844,0.86750,0.43403,-0.00291,p2p[d=0.03],1,0.030,20.93
1739296832.406142,0.88780,0.44956,-0.00473,p2p[d=0.03],1,0.030,20.77
1739296832.517869,0.90600,0.46398,-0.00418,p2p[d=0.03],1,0.030,28.16
1739296832.630219,0.92802,0.48111,-0.00479,p2p[d=0.03],1,0.030,22.15
1739296832.749905,0.94041,0.49682,0.00272,p2p[d=0.03],1,0.030,18.94
1739296832.860943,0.96702,0.50577,0.00290,p2p[d=0.03],1,0.030,28.18
1739296832.978772,0.99264,0.51541,0.00252,p2p[d=0.03],1,0.030,20.97
1739296833.107724,1.01600,0.52943,0.00307,p2p[d=0.03],1,0.030,20.86
1739296833.238783,1.03053,0.53892,0.00514,p2p[d=0.03],1,0.030,32.76
1739296833.355923,1.04754,0.55007,0.00773,p2p[d=0.03],1,0.030,28.96
1739296833.475335,1.07443,0.56111,0.00270,p2p[d=0.03],1,0.030,31.99
1739296833.601982,1.09937,0.56657,-0.00096,p2p[d=0.03],1,0.030,19.97
1739296833.716247,1.12599,0.57815,0.00284,p2p[d=0.03],1,0.030,19.90
1739296833.831606,1.14524,0.59826,0.00614,p2p[d=0.03],1,0.030,28.04
1739296833.944218,1.16470,0.60763,0.00558,p2p[d=0.03],1,0.030,31.45
1739296834.069717,1.18675,0.62620,0.00724,p2p[d=0.03],1,0.030,23.15
1739296834.200266,1.21310,0.63335,0.01055,p2p[d=0.03],1,0.030,42.20
1739296834.335978,1.23912,0.64606,0.01099,p2p[d=0.03],1,0.030,26.06
1739296834.447055,1.25609,0.66353,0.00900,p2p[d=0.03],1,0.030,28.37
1739296834.561721,1.27680,0.67693,0.00438,p2p[d=0.03],1,0.030,31.26
1739296834.678025,1.29993,0.68120,0.00436,p2p[d=0.03],1,0.030,20.54
1739296834.786080,1.31746,0.69283,-0.00056,p2p[d=0.03],1,0.030,21.81
1739296834.900107,1.33887,0.70684,0.00178,p2p[d=0.03],1,0.030,19.41
1739296835.021176,1.36290,0.71808,0.00091,p2p[d=0.03],1,0.030,20.60
1739296835.137187,1.38253,0.73935,0.00051,p2p[d=0.03],1,0.030,20.15
1739296835.272905,1.40354,0.75949,0.00522,p2p[d=0.03],1,0.030,20.55
1739296835.381464,1.42198,0.76681,0.00894,p2p[d=0.03],1,0.030,25.35
1739296835.501755,1.44853,0.77504,0.01289,p2p[d=0.03],1,0.030,34.59
1739296835.609790,1.46700,0.78434,0.01051,p2p[d=0.03],1,0.030,25.87
1739296835.725261,1.48749,0.79859,0.01039,p2p[d=0.03],1,0.030,21.69
1739296835.841988,1.49925,0.81375,0.01273,p2p[d=0.03],1,0.030,21.49
1739296835.974859,1.53142,0.82132,0.01546,p2p[d=0.03],1,0.030,21.30
1739296836.110548,1.56553,0.83319,0.01159,p2p[d=0.03],1,0.030,20.08
1739296836.223120,1.59451,0.84738,0.01041,p2p[d=0.03],1,0.030,20.86
1739296836.339059,1.61635,0.86114,0.00347,p2p[d=0.03],1,0.030,34.04
1739296836.447793,1.63595,0.87681,0.00392,p2p[d=0.03],1,0.030,21.87
1739296836.570061,1.65318,0.88926,0.00481,p2p[d=0.03],1,0.030,21.85
1739296836.691119,1.67054,0.89803,0.00657,p2p[d=0.03],1,0.030,21.66
1739296836.807298,1.68570,0.90508,0.00589,p2p[d=0.03],1,0.030,22.94
1739296836.937066,1.70665,0.91229,0.01013,p2p[d=0.03],1,0.030,19.98
1739296837.063547,1.72984,0.92759,0.00987,p2p[d=0.03],1,0.030,30.43
1739296837.171719,1.74576,0.93804,0.01116,p2p[d=0.03],1,0.030,30.17
