stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296975.703470,2.88431,2.64282,-0.40219,p2p[d=0.03],1,0.030,34.66
1739296975.823768,2.88341,2.64341,-0.40599,p2p[d=0.03],1,0.030,31.94
1739296975.935885,2.88270,2.64500,-0.39483,p2p[d=0.03],1,0.030,33.51
1739296976.050272,2.88016,2.64257,-0.39460,p2p[d=0.03],1,0.030,34.51
1739296976.176265,2.88341,2.64588,-0.39411,p2p[d=0.03],1,0.030,30.99
1739296976.289429,2.88396,2.65546,-0.39883,p2p[d=0.03],1,0.030,33.63
1739296976.418808,2.88334,2.65198,-0.40280,p2p[d=0.03],1,0.030,44.10
1739296976.544134,2.88297,2.65589,-0.40652,p2p[d=0.03],1,0.030,46.96
1739296976.680859,2.88120,2.65457,-0.40313,p2p[d=0.03],1,0.030,32.02
1739296976.796482,2.88521,2.65516,-0.40012,p2p[d=0.03],1,0.030,42.23
1739296976.904436,2.88625,2.65510,-0.39461,p2p[d=0.03],1,0.030,51.49
1739296977.032302,2.88743,2.64656,-0.39079,p2p[d=0.03],1,0.030,32.20
1739296977.150936,2.88444,2.64809,-0.39665,p2p[d=0.03],1,0.030,29.92
1739296977.262452,2.88453,2.64354,-0.39650,p2p[d=0.03],1,0.030,34.21
1739296977.394006,2.88236,2.64584,-0.39704,p2p[d=0.03],1,0.030,39.26
1739296977.521507,2.88357,2.64916,-0.40357,p2p[d=0.03],1,0.030,50.13
1739296977.635558,2.88249,2.64571,-0.41150,p2p[d=0.03],1,0.030,41.78
1739296977.749493,2.87696,2.64991,-0.41227,p2p[d=0.03],1,0.030,31.91
1739296977.873731,2.88690,2.64438,-0.41863,p2p[d=0.03],1,0.030,30.71
1739296977.988144,2.88024,2.64279,-0.41829,p2p[d=0.03],1,0.030,38.13
1739296978.101886,2.88392,2.64582,-0.41400,p2p[d=0.03],1,0.030,36.69
1739296978.221266,2.87781,2.64770,-0.41347,p2p[d=0.03],1,0.030,34.06
1739296978.346795,2.88423,2.65196,-0.41278,p2p[d=0.03],1,0.030,55.54
1739296978.486901,2.88403,2.64346,-0.39697,p2p[d=0.03],1,0.030,46.87
1739296978.610554,2.87816,2.64519,-0.40509,p2p[d=0.03],1,0.030,37.06
1739296978.719302,2.87223,2.64720,-0.41839,p2p[d=0.03],1,0.030,33.71
1739296978.832744,2.87828,2.64407,-0.42462,p2p[d=0.03],1,0.030,33.06
1739296978.951785,2.88682,2.64193,-0.42717,p2p[d=0.03],1,0.030,46.58
1739296979.063646,2.88541,2.64563,-0.41350,p2p[d=0.03],1,0.030,49.18
1739296979.196105,2.88753,2.63766,-0.40106,p2p[d=0.03],1,0.030,38.46
1739296979.310543,2.89098,2.63915,-0.39344,p2p[d=0.03],1,0.030,45.39
1739296979.435914,2.88574,2.63462,-0.38029,p2p[d=0.03],1,0.030,41.26
1739296979.557867,2.88068,2.63643,-0.38614,p2p[d=0.03],1,0.030,39.69
1739296979.671682,2.88050,2.63814,-0.40042,p2p[d=0.03],1,0.030,44.24
1739296979.785453,2.87836,2.64071,-0.41320,p2p[d=0.03],1,0.030,31.51
1739296979.902045,2.88094,2.64367,-0.42125,p2p[d=0.03],1,0.030,30.56
1739296980.020616,2.87767,2.64990,-0.41778,p2p[d=0.03],1,0.030,32.35
1739296980.140929,2.88007,2.64513,-0.41490,p2p[d=0.03],1,0.030,46.71
1739296980.272234,2.88048,2.64190,-0.41354,p2p[d=0.03],1,0.030,45.25
1739296980.399973,2.87856,2.63705,-0.40069,p2p[d=0.03],1,0.030,63.04
1739296980.516872,2.87485,2.64254,-0.40719,p2p[d=0.03],1,0.030,47.37
1739296980.630464,2.87531,2.64525,-0.41919,p2p[d=0.03],1,0.030,45.64
1739296980.753629,2.87698,2.64535,-0.41882,p2p[d=0.03],1,0.030,36.75
1739296980.871978,2.88140,2.65114,-0.42179,p2p[d=0.03],1,0.030,38.17
1739296980.994243,2.88079,2.64380,-0.41414,p2p[d=0.03],1,0.030,33.52
1739296981.114208,2.88463,2.64148,-0.40895,p2p[d=0.03],1,0.030,30.98
1739296981.250570,2.88253,2.63888,-0.41163,p2p[d=0.03],1,0.030,31.84
1739296981.375139,2.89142,2.63774,-0.41062,p2p[d=0.03],1,0.030,47.69
1739296981.498430,2.89494,2.64632,-0.41667,p2p[d=0.03],1,0.030,39.77
1739296981.614601,2.89303,2.65032,-0.41696,p2p[d=0.03],1,0.030,33.48
1739296981.722158,2.88858,2.64272,-0.41567,p2p[d=0.03],1,0.030,32.47
1739296981.835751,2.87821,2.64454,-0.41756,p2p[d=0.03],1,0.030,32.38
