scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1955.599600,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,1053,24000,0
1,1955.699435,0.000463,-0.000468,0.000173,-0.000789,0.000463,-0.000468,0.000173,-0.000789,nan,nan,nan,nan,nan,nan,-1,stationary,1159,24000,0
2,1955.799669,0.000502,-0.000508,0.000182,-0.000825,0.000502,-0.000508,0.000182,-0.000825,nan,nan,nan,nan,nan,nan,-1,stationary,1188,24000,0
3,1955.899516,0.000503,-0.000508,0.000176,-0.000865,0.000503,-0.000508,0.000176,-0.000865,nan,nan,nan,nan,nan,nan,-1,stationary,1200,24000,0
4,1955.999354,0.000505,-0.000509,0.000171,-0.000908,0.000505,-0.000509,0.000171,-0.000908,nan,nan,nan,nan,nan,nan,-1,stationary,1218,24000,0
5,1956.099994,0.000507,-0.000509,0.000165,-0.000952,0.000507,-0.000509,0.000165,-0.000952,nan,nan,nan,nan,nan,nan,-1,stationary,1226,24000,0
6,1956.199832,0.000509,-0.000509,0.000160,-0.000991,0.000509,-0.000509,0.000160,-0.000991,nan,nan,nan,nan,nan,nan,-1,stationary,1238,24000,0
7,1956.399509,0.000512,-0.000509,0.000155,-0.001026,0.000512,-0.000509,0.000155,-0.001026,nan,nan,nan,nan,nan,nan,-1,stationary,1245,24000,0
8,1956.599978,0.000514,-0.000508,0.000150,-0.001056,0.000514,-0.000508,0.000150,-0.001056,nan,nan,nan,nan,nan,nan,-1,stationary,1295,24000,0
9,1956.699822,0.000517,-0.000508,0.000146,-0.001083,0.000517,-0.000508,0.000146,-0.001083,nan,nan,nan,nan,nan,nan,-1,stationary,1357,24000,0
10,1956.899516,0.000519,-0.000508,0.000142,-0.001102,0.000519,-0.000508,0.000142,-0.001102,nan,nan,nan,nan,nan,nan,-1,stationary,1360,24000,0
11,1957.099993,0.000521,-0.000507,0.000138,-0.001111,0.000521,-0.000507,0.000138,-0.001111,nan,nan,nan,nan,nan,nan,-1,stationary,1373,24000,0
12,1957.299666,0.000523,-0.000507,0.000135,-0.001112,0.000523,-0.000507,0.000135,-0.001112,nan,nan,nan,nan,nan,nan,-1,stationary,1384,24000,0
13,1957.399503,0.000525,-0.000506,0.000132,-0.001104,0.000525,-0.000506,0.000132,-0.001104,nan,nan,nan,nan,nan,nan,-1,stationary,1397,24000,0
14,1957.599610,0.000527,-0.000505,0.000129,-0.001087,0.000527,-0.000505,0.000129,-0.001087,nan,nan,nan,nan,nan,nan,-1,stationary,1414,24000,0
15,1957.799301,0.000528,-0.000505,0.000126,-0.001064,0.000528,-0.000505,0.000126,-0.001064,nan,nan,nan,nan,nan,nan,-1,stationary,1527,24000,0
16,1957.999785,0.000530,-0.000504,0.000123,-0.001037,0.000530,-0.000504,0.000123,-0.001037,nan,nan,nan,nan,nan,nan,-1,stationary,1618,24000,0
17,1958.199467,0.000531,-0.000504,0.000120,-0.001006,0.000531,-0.000504,0.000120,-0.001006,nan,nan,nan,nan,nan,nan,-1,stationary,1645,24000,0
18,1958.299321,0.000533,-0.000504,0.000118,-0.000970,0.000533,-0.000504,0.000118,-0.000970,nan,nan,nan,nan,nan,nan,-1,stationary,1651,24000,0
19,1958.499797,0.000534,-0.000503,0.000115,-0.000930,0.000534,-0.000503,0.000115,-0.000930,nan,nan,nan,nan,nan,nan,-1,stationary,1800,24000,0
20,1958.699475,0.000536,-0.000503,0.000112,-0.000892,0.000536,-0.000503,0.000112,-0.000892,nan,nan,nan,nan,nan,nan,-1,stationary,1780,24000,0
21,1958.899960,0.000537,-0.000502,0.000110,-0.000855,0.000537,-0.000502,0.000110,-0.000855,nan,nan,nan,nan,nan,nan,-1,stationary,1874,24000,0
22,1958.999810,0.000538,-0.000502,0.000108,-0.000821,0.000538,-0.000502,0.000108,-0.000821,nan,nan,nan,nan,nan,nan,-1,stationary,1968,24000,0
