scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1952.299657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,1070,24000,0
1,1952.399498,-0.000002,-0.000001,-0.000004,0.000084,-0.000002,-0.000001,-0.000004,0.000084,nan,nan,nan,nan,nan,nan,-1,stationary,1146,24000,0
2,1952.499356,-0.000004,-0.000001,-0.000002,0.000144,-0.000004,-0.000001,-0.000002,0.000144,nan,nan,nan,nan,nan,nan,-1,stationary,1161,24000,0
3,1952.599997,-0.000003,0.000001,-0.000001,0.000124,-0.000003,0.000001,-0.000001,0.000124,nan,nan,nan,nan,nan,nan,-1,stationary,1175,24000,0
4,1952.699828,-0.000001,0.000006,0.000002,0.000112,-0.000001,0.000006,0.000002,0.000112,nan,nan,nan,nan,nan,nan,-1,stationary,1186,24000,0
5,1952.799667,-0.000001,0.000012,0.000004,0.000114,-0.000001,0.000012,0.000004,0.000114,nan,nan,nan,nan,nan,nan,-1,stationary,1204,24000,0
6,1952.899509,-0.000006,0.000009,0.000005,0.000153,-0.000006,0.000009,0.000005,0.000153,nan,nan,nan,nan,nan,nan,-1,stationary,1246,24000,0
7,1952.999356,-0.000008,0.000006,0.000004,0.000166,-0.000008,0.000006,0.000004,0.000166,nan,nan,nan,nan,nan,nan,-1,stationary,1298,24000,0
8,1953.099604,-0.000007,0.000005,0.000003,0.000189,-0.000007,0.000005,0.000003,0.000189,nan,nan,nan,nan,nan,nan,-1,stationary,1323,24000,0
9,1953.199446,-0.000003,0.000004,-0.000001,0.000154,-0.000003,0.000004,-0.000001,0.000154,nan,nan,nan,nan,nan,nan,-1,stationary,1338,24000,0
10,1953.299291,-0.000008,0.000008,-0.000000,-0.000006,-0.000008,0.000008,-0.000000,-0.000006,nan,nan,nan,nan,nan,nan,-1,stationary,1343,24000,0
11,1953.399912,0.000010,0.000000,-0.000004,-0.000136,0.000010,0.000000,-0.000004,-0.000136,nan,nan,nan,nan,nan,nan,-1,stationary,1345,24000,0
12,1953.499759,-0.000015,-0.000013,0.000002,0.000151,-0.000015,-0.000013,0.000002,0.000151,nan,nan,nan,nan,nan,nan,-1,stationary,1346,24000,0
13,1953.599598,-0.000008,0.000005,-0.000001,0.000019,-0.000008,0.000005,-0.000001,0.000019,nan,nan,nan,nan,nan,nan,-1,stationary,1349,24000,0
14,1953.699431,-0.000001,-0.000001,-0.000003,0.000171,-0.000001,-0.000001,-0.000003,0.000171,nan,nan,nan,nan,nan,nan,-1,stationary,1351,24000,0
15,1953.799668,-0.000009,-0.000011,-0.000002,0.000199,-0.000009,-0.000011,-0.000002,0.000199,nan,nan,nan,nan,nan,nan,-1,stationary,1353,24000,0
16,1953.899504,-0.000003,-0.000006,-0.000001,0.000120,-0.000003,-0.000006,-0.000001,0.000120,nan,nan,nan,nan,nan,nan,-1,stationary,1354,24000,0
17,1953.999350,0.000001,-0.000008,-0.000004,0.000150,0.000001,-0.000008,-0.000004,0.000150,nan,nan,nan,nan,nan,nan,-1,stationary,1361,24000,0
18,1954.099600,-0.000023,-0.000006,0.000030,0.000119,-0.000023,-0.000006,0.000030,0.000119,nan,nan,nan,nan,nan,nan,-1,stationary,1380,24000,0
19,1954.199424,-0.000019,-0.000006,0.000029,0.000169,-0.000019,-0.000006,0.000029,0.000169,nan,nan,nan,nan,nan,nan,-1,stationary,1423,24000,0
20,1954.299665,-0.000028,-0.000003,0.000027,0.000243,-0.000028,-0.000003,0.000027,0.000243,nan,nan,nan,nan,nan,nan,-1,stationary,1296,24000,0
21,1954.399500,-0.000012,-0.000014,0.000025,0.000344,-0.000012,-0.000014,0.000025,0.000344,nan,nan,nan,nan,nan,nan,-1,stationary,1307,24000,0
22,1954.499329,-0.000019,-0.000019,0.000024,0.000377,-0.000019,-0.000019,0.000024,0.000377,nan,nan,nan,nan,nan,nan,-1,stationary,1308,24000,0
23,1954.599970,-0.000018,-0.000016,0.000027,0.000389,-0.000018,-0.000016,0.000027,0.000389,nan,nan,nan,nan,nan,nan,-1,stationary,1309,24000,0
24,1954.699816,-0.000016,-0.000022,0.000033,0.000448,-0.000016,-0.000022,0.000033,0.000448,nan,nan,nan,nan,nan,nan,-1,stationary,1311,24000,0
25,1954.799654,-0.000018,-0.000022,0.000034,0.000540,-0.000018,-0.000022,0.000034,0.000540,nan,nan,nan,nan,nan,nan,-1,stationary,1313,24000,0
