scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,3521,24000,0
1,1951.899477,-0.000004,-0.000004,0.000000,-0.000014,-0.000004,-0.000004,0.000000,-0.000014,nan,nan,nan,nan,nan,nan,-1,stationary,4214,24000,0
2,1951.999327,-0.000008,-0.000006,0.000001,-0.000054,-0.000008,-0.000006,0.000001,-0.000054,nan,nan,nan,nan,nan,nan,-1,stationary,4414,24000,0
3,1952.099978,-0.000010,-0.000008,0.000002,-0.000080,-0.000010,-0.000008,0.000002,-0.000080,nan,nan,nan,nan,nan,nan,-1,stationary,4519,24000,0
4,1952.199821,-0.000012,-0.000014,0.000001,-0.000088,-0.000012,-0.000014,0.000001,-0.000088,nan,nan,nan,nan,nan,nan,-1,stationary,4587,24000,0
5,1952.299657,-0.000013,-0.000021,0.000006,-0.000063,-0.000013,-0.000021,0.000006,-0.000063,nan,nan,nan,nan,nan,nan,-1,stationary,4645,24000,0
6,1952.399498,-0.000013,-0.000022,0.000005,0.000054,-0.000013,-0.000022,0.000005,0.000054,nan,nan,nan,nan,nan,nan,-1,stationary,4691,24000,0
7,1952.499356,-0.000016,-0.000023,0.000006,0.000093,-0.000016,-0.000023,0.000006,0.000093,nan,nan,nan,nan,nan,nan,-1,stationary,4727,24000,0
8,1952.599997,-0.000016,-0.000022,0.000006,0.000026,-0.000016,-0.000022,0.000006,0.000026,nan,nan,nan,nan,nan,nan,-1,stationary,4755,24000,0
9,1952.699828,-0.000014,-0.000017,0.000010,0.000025,-0.000014,-0.000017,0.000010,0.000025,nan,nan,nan,nan,nan,nan,-1,stationary,4791,24000,0
10,1952.799667,-0.000016,-0.000013,0.000013,0.000007,-0.000016,-0.000013,0.000013,0.000007,nan,nan,nan,nan,nan,nan,-1,stationary,4828,24000,0
11,1952.899509,-0.000017,-0.000012,0.000011,0.000008,-0.000017,-0.000012,0.000011,0.000008,nan,nan,nan,nan,nan,nan,-1,stationary,4886,24000,0
12,1952.999356,-0.000019,-0.000015,0.000014,0.000011,-0.000019,-0.000015,0.000014,0.000011,nan,nan,nan,nan,nan,nan,-1,stationary,4947,24000,0
13,1953.099604,-0.000020,-0.000017,0.000014,0.000038,-0.000020,-0.000017,0.000014,0.000038,nan,nan,nan,nan,nan,nan,-1,stationary,5001,24000,0
14,1953.199446,-0.000020,-0.000017,0.000013,-0.000085,-0.000020,-0.000017,0.000013,-0.000085,nan,nan,nan,nan,nan,nan,-1,stationary,5029,24000,0
15,1953.299291,-0.000025,-0.000015,0.000014,-0.000212,-0.000025,-0.000015,0.000014,-0.000212,nan,nan,nan,nan,nan,nan,-1,stationary,5046,24000,0
16,1953.399912,-0.000008,-0.000024,0.000011,-0.000362,-0.000008,-0.000024,0.000011,-0.000362,nan,nan,nan,nan,nan,nan,-1,stationary,5064,24000,0
17,1953.499759,-0.000035,-0.000037,0.000018,-0.000096,-0.000035,-0.000037,0.000018,-0.000096,nan,nan,nan,nan,nan,nan,-1,stationary,5082,24000,0
18,1953.599598,-0.000028,-0.000020,0.000016,-0.000248,-0.000028,-0.000020,0.000016,-0.000248,nan,nan,nan,nan,nan,nan,-1,stationary,5101,24000,0
19,1953.699431,-0.000023,-0.000026,0.000015,-0.000117,-0.000023,-0.000026,0.000015,-0.000117,nan,nan,nan,nan,nan,nan,-1,stationary,5111,24000,0
20,1953.799668,-0.000031,-0.000036,0.000016,-0.000109,-0.000031,-0.000036,0.000016,-0.000109,nan,nan,nan,nan,nan,nan,-1,stationary,5017,24000,0
21,1953.899504,-0.000022,-0.000027,0.000014,-0.000217,-0.000022,-0.000027,0.000014,-0.000217,nan,nan,nan,nan,nan,nan,-1,stationary,5025,24000,0
22,1953.999350,-0.000019,-0.000029,0.000013,-0.000193,-0.000019,-0.000029,0.000013,-0.000193,nan,nan,nan,nan,nan,nan,-1,stationary,5034,24000,0
23,1954.099600,-0.000043,-0.000027,0.000045,-0.000250,-0.000043,-0.000027,0.000045,-0.000250,nan,nan,nan,nan,nan,nan,-1,stationary,5059,24000,0
24,1954.199424,-0.000039,-0.000028,0.000043,-0.000220,-0.000039,-0.000028,0.000043,-0.000220,nan,nan,nan,nan,nan,nan,-1,stationary,5107,24000,0
25,1954.299665,-0.000050,-0.000026,0.000041,-0.000166,-0.000050,-0.000026,0.000041,-0.000166,nan,nan,nan,nan,nan,nan,-1,stationary,5150,24000,0
26,1954.399500,-0.000036,-0.000038,0.000039,-0.000086,-0.000036,-0.000038,0.000039,-0.000086,nan,nan,nan,nan,nan,nan,-1,stationary,5162,24000,0
27,1954.499329,-0.000043,-0.000043,0.000039,-0.000072,-0.000043,-0.000043,0.000039,-0.000072,nan,nan,nan,nan,nan,nan,-1,stationary,5173,24000,0
28,1954.599970,-0.000044,-0.000041,0.000042,-0.000081,-0.000044,-0.000041,0.000042,-0.000081,nan,nan,nan,nan,nan,nan,-1,stationary,5185,24000,0
29,1954.699816,-0.000040,-0.000045,0.000042,-0.000044,-0.000040,-0.000045,0.000042,-0.000044,nan,nan,nan,nan,nan,nan,-1,stationary,5192,24000,0
30,1954.799654,-0.000041,-0.000044,0.000042,0.000025,-0.000041,-0.000044,0.000042,0.000025,nan,nan,nan,nan,nan,nan,-1,stationary,5205,24000,0
31,1954.899494,-0.000037,-0.000045,0.000038,0.000089,-0.000037,-0.000045,0.000038,0.000089,nan,nan,nan,nan,nan,nan,-1,stationary,5208,24000,0
32,1954.999337,-0.000044,-0.000049,0.000037,0.000151,-0.000044,-0.000049,0.000037,0.000151,nan,nan,nan,nan,nan,nan,-1,stationary,5216,24000,0
33,1955.099979,-0.000042,-0.000050,0.000035,0.000145,-0.000042,-0.000050,0.000035,0.000145,nan,nan,nan,nan,nan,nan,-1,stationary,5223,24000,0
34,1955.199829,-0.000045,-0.000050,0.000033,0.000226,-0.000045,-0.000050,0.000033,0.000226,nan,nan,nan,nan,nan,nan,-1,stationary,5232,24000,0
35,1955.299679,-0.000034,-0.000053,0.000036,0.000031,-0.000034,-0.000053,0.000036,0.000031,nan,nan,nan,nan,nan,nan,-1,stationary,5258,24000,0
36,1955.399515,-0.000039,-0.000070,0.000037,0.000384,-0.000039,-0.000070,0.000037,0.000384,nan,nan,nan,nan,nan,nan,-1,stationary,5315,24000,0
37,1955.499358,-0.000070,-0.000052,0.000037,0.000200,-0.000070,-0.000052,0.000037,0.000200,nan,nan,nan,nan,nan,nan,-1,stationary,5368,24000,0
38,1955.599600,-0.000084,-0.000070,0.000043,0.000381,-0.000084,-0.000070,0.000043,0.000381,nan,nan,nan,nan,nan,nan,-1,stationary,5417,24000,0
39,1955.699435,-0.000018,-0.000055,0.000040,0.000464,-0.000018,-0.000055,0.000040,0.000464,nan,nan,nan,nan,nan,nan,-1,stationary,5422,24000,0
40,1955.799669,-0.000071,-0.000048,0.000034,0.000655,-0.000071,-0.000048,0.000034,0.000655,nan,nan,nan,nan,nan,nan,-1,stationary,5251,24000,0
41,1955.899516,-0.000090,-0.000052,0.000037,0.000650,-0.000090,-0.000052,0.000037,0.000650,nan,nan,nan,nan,nan,nan,-1,stationary,5276,24000,0
42,1955.999354,-0.000049,-0.000024,0.000036,0.000384,-0.000049,-0.000024,0.000036,0.000384,nan,nan,nan,nan,nan,nan,-1,stationary,5280,24000,0
43,1956.099994,-0.000062,-0.000064,0.000036,0.000638,-0.000062,-0.000064,0.000036,0.000638,nan,nan,nan,nan,nan,nan,-1,stationary,5284,24000,0
44,1956.199832,-0.000057,-0.000066,0.000034,0.000559,-0.000057,-0.000066,0.000034,0.000559,nan,nan,nan,nan,nan,nan,-1,stationary,5288,24000,0
45,1956.299680,-0.000048,-0.000048,0.000032,0.000550,-0.000048,-0.000048,0.000032,0.000550,nan,nan,nan,nan,nan,nan,-1,stationary,5292,24000,0
46,1956.399509,-0.000064,-0.000057,0.000036,0.000620,-0.000064,-0.000057,0.000036,0.000620,nan,nan,nan,nan,nan,nan,-1,stationary,5296,24000,0
47,1956.499352,-0.000038,-0.000055,0.000031,0.000401,-0.000038,-0.000055,0.000031,0.000401,nan,nan,nan,nan,nan,nan,-1,stationary,5319,24000,0
48,1956.599978,-0.000061,-0.000040,0.000031,0.000864,-0.000061,-0.000040,0.000031,0.000864,nan,nan,nan,nan,nan,nan,-1,stationary,5366,24000,0
49,1956.699822,-0.000030,-0.000037,0.000031,0.000396,-0.000030,-0.000037,0.000031,0.000396,nan,nan,nan,nan,nan,nan,-1,stationary,5419,24000,0
50,1956.799662,-0.000051,-0.000054,0.000025,0.000886,-0.000051,-0.000054,0.000025,0.000886,nan,nan,nan,nan,nan,nan,-1,stationary,5455,24000,0
51,1956.899516,0.000076,-0.000087,-0.000012,0.000151,0.000076,-0.000087,-0.000012,0.000151,nan,nan,nan,nan,nan,nan,-1,stationary,5464,24000,0
52,1956.999363,-0.000036,-0.000044,-0.000003,0.001538,-0.000036,-0.000044,-0.000003,0.001538,nan,nan,nan,nan,nan,nan,-1,stationary,5476,24000,0
53,1957.099993,-0.000018,-0.000071,-0.000000,0.003051,-0.000018,-0.000071,-0.000000,0.003051,nan,nan,nan,nan,nan,nan,-1,stationary,5482,24000,0
54,1957.199826,-0.000357,0.000083,0.000009,0.003818,-0.000357,0.000083,0.000009,0.003818,nan,nan,nan,nan,nan,nan,-1,stationary,5490,24000,0
55,1957.299666,0.000193,-0.000081,0.000086,0.003570,0.000065,-0.000056,0.000003,0.004882,0.00030872221751973984,-0.0001767829889029552,0.0008598922391105226,-0.00023138800787465014,0.9773677920507635,0.0001379240436018318,1,mild,5504,24000,1
56,1957.399503,0.000172,-0.000098,0.000038,0.004143,0.000172,-0.000098,0.000038,0.004143,nan,nan,nan,nan,nan,nan,-1,stationary,5531,24000,0
57,1957.499354,0.000155,-0.000110,0.000023,0.007506,0.000155,-0.000110,0.000023,0.007506,nan,nan,nan,nan,nan,nan,-1,stationary,5539,24000,0
58,1957.599610,0.000208,-0.000112,0.000008,0.006946,0.000208,-0.000112,0.000008,0.006946,nan,nan,nan,nan,nan,nan,-1,stationary,5558,24000,0
59,1957.699452,0.000336,-0.000025,0.000007,0.010475,0.000336,-0.000025,0.000007,0.010475,nan,nan,nan,nan,nan,nan,-1,stationary,5665,24000,0
60,1957.799301,0.010294,-0.000673,-0.001509,0.019466,0.001666,0.000699,-0.000009,0.016173,0.013386973697542473,-0.0009561943681568084,-0.00944813586189418,0.008772748366332283,0.973210635614384,0.02022482215055758,1,mild,5658,24000,1
61,1957.899948,0.020352,-0.000659,-0.000231,0.030363,0.028867,0.000227,0.000118,0.030475,0.010320731348445158,-0.0002940588160597681,4.7472145830284706e-05,0.010872156800085743,0.9748816997449454,0.0020132187378363465,1,mild,5763,24000,1
62,1957.999785,0.031502,0.007235,0.000279,0.034947,0.031199,0.000068,0.000014,0.037380,0.01099238702195961,0.00813621052093802,0.0017444374382431346,0.004540910851595271,0.9742062814020276,0.0014804446571881796,1,mild,5824,24000,1
63,1958.099626,0.043903,0.010350,0.000329,0.030142,0.031022,0.005119,0.000035,0.035770,0.01586671157519632,0.00595419362801595,-0.0029572962668897515,-0.0053563667486118145,0.9790477260183786,0.03928745780777653,1,mild,5876,24000,1
64,1958.199467,0.060466,0.010134,0.000377,0.016655,0.076650,0.009797,-0.000003,0.018698,0.01550840677244427,-0.0006953371012866291,0.002509117001382019,-0.013429689629736312,0.9675004275562117,0.005452082437136351,1,mild,5964,24000,1
65,1958.299321,0.072380,-0.001675,0.000913,0.009065,0.067415,0.003853,0.000144,0.005129,0.011229910410145677,-0.01263986370373776,0.002397679739241428,-0.007431552962039058,0.9710293969863583,0.0034508281120475843,1,mild,6012,24000,1
66,1958.399966,0.096380,-0.014312,0.000092,-0.004976,0.090431,-0.025955,-0.000221,-0.002460,0.022473048654906333,-0.008846457593848115,0.005670561425173053,-0.014116661368913428,0.961433603323753,0.0053486218086544685,1,translating,6103,24000,1
67,1958.499797,0.119850,-0.022134,-0.000227,-0.022922,0.124323,-0.018900,0.000454,-0.023930,0.024349873231601857,-0.008885343357714319,-0.004199054203138088,-0.01792595053530174,0.9662527159534616,0.0012329287389349047,1,translating,6211,24000,1
68,1958.599637,0.140765,-0.026515,-0.000892,-0.031399,0.151376,-0.030172,-0.000677,-0.043866,0.02199571638109006,-0.003696606276734224,-0.005016485136674937,-0.008560255622001835,0.96676553642218,0.0055764983790099615,1,translating,6281,24000,1
69,1958.699475,0.162902,-0.027197,0.000028,-0.038111,0.158924,-0.030196,0.000207,-0.039203,0.023176635868678575,0.0005565181237443401,-0.0010928219985675187,-0.006688588809003338,0.972514731827789,0.0008283866747865124,1,translating,6358,24000,1
70,1958.799308,0.188613,-0.027688,0.000144,-0.041953,0.183193,-0.024769,0.000262,-0.045038,0.026352206749560958,-0.00011681542570853715,-0.0006759061528695123,-0.00376793762845441,0.9777482066125271,0.0007747423473177689,1,translating,6418,24000,1
71,1958.899960,0.206272,-0.029166,0.001068,-0.044134,0.184926,-0.027883,-0.000428,-0.044635,0.020946698910369405,-0.0007700963360157027,0.0002986906618014479,-0.0022894978356084775,0.9747693766040697,0.07523612803824863,1,mild,6464,24000,1
72,1958.999810,0.232909,-0.032381,-0.000529,-0.050435,0.209438,-0.029937,-0.002205,-0.050164,0.03420913088688174,-0.0035955063722571817,-0.0057899777745971616,-0.006483683171403175,0.9661614590025956,0.04089313766666012,1,translating,6589,24000,1
