scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,9793,24000,0
1,1951.899477,-0.000004,-0.000004,0.000002,0.000004,-0.000004,-0.000004,0.000002,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,14041,24000,0
2,1951.999327,-0.000008,-0.000006,0.000002,-0.000037,-0.000008,-0.000006,0.000002,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,16065,24000,0
3,1952.099978,-0.000010,-0.000008,0.000003,-0.000063,-0.000010,-0.000008,0.000003,-0.000063,nan,nan,nan,nan,nan,nan,-1,stationary,17279,24000,0
4,1952.199821,-0.000011,-0.000009,0.000003,-0.000075,-0.000011,-0.000009,0.000003,-0.000075,nan,nan,nan,nan,nan,nan,-1,stationary,18155,24000,0
5,1952.299657,-0.000011,-0.000012,0.000008,-0.000038,-0.000011,-0.000012,0.000008,-0.000038,nan,nan,nan,nan,nan,nan,-1,stationary,18747,24000,0
6,1952.399498,-0.000010,-0.000012,0.000009,0.000019,-0.000010,-0.000012,0.000009,0.000019,nan,nan,nan,nan,nan,nan,-1,stationary,19239,24000,0
7,1952.499356,-0.000011,-0.000011,0.000009,0.000060,-0.000011,-0.000011,0.000009,0.000060,nan,nan,nan,nan,nan,nan,-1,stationary,19619,24000,0
8,1952.599997,-0.000010,-0.000010,0.000008,-0.000011,-0.000010,-0.000010,0.000008,-0.000011,nan,nan,nan,nan,nan,nan,-1,stationary,19980,24000,0
9,1952.699828,-0.000008,-0.000005,0.000012,-0.000016,-0.000008,-0.000005,0.000012,-0.000016,nan,nan,nan,nan,nan,nan,-1,stationary,20242,24000,0
10,1952.799667,-0.000011,0.000001,0.000015,-0.000034,-0.000011,0.000001,0.000015,-0.000034,nan,nan,nan,nan,nan,nan,-1,stationary,20509,24000,0
11,1952.899509,-0.000017,-0.000002,0.000017,-0.000015,-0.000017,-0.000002,0.000017,-0.000015,nan,nan,nan,nan,nan,nan,-1,stationary,20763,24000,0
12,1952.999356,-0.000021,-0.000006,0.000018,-0.000023,-0.000021,-0.000006,0.000018,-0.000023,nan,nan,nan,nan,nan,nan,-1,stationary,20998,24000,0
13,1953.099604,-0.000022,-0.000008,0.000018,-0.000021,-0.000022,-0.000008,0.000018,-0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,21196,24000,0
14,1953.199446,-0.000020,-0.000009,0.000015,-0.000076,-0.000020,-0.000009,0.000015,-0.000076,nan,nan,nan,nan,nan,nan,-1,stationary,21331,24000,0
15,1953.299291,-0.000027,-0.000005,0.000016,-0.000256,-0.000027,-0.000005,0.000016,-0.000256,nan,nan,nan,nan,nan,nan,-1,stationary,21455,24000,0
16,1953.399912,-0.000026,-0.000013,0.000019,-0.000249,-0.000026,-0.000013,0.000019,-0.000249,nan,nan,nan,nan,nan,nan,-1,stationary,21588,24000,0
17,1953.499759,-0.000055,-0.000017,0.000023,-0.000143,-0.000055,-0.000017,0.000023,-0.000143,nan,nan,nan,nan,nan,nan,-1,stationary,21689,24000,0
18,1953.599598,-0.000056,-0.000010,0.000019,-0.000237,-0.000056,-0.000010,0.000019,-0.000237,nan,nan,nan,nan,nan,nan,-1,stationary,21801,24000,0
19,1953.699431,-0.000062,-0.000021,0.000021,-0.000147,-0.000062,-0.000021,0.000021,-0.000147,nan,nan,nan,nan,nan,nan,-1,stationary,21872,24000,0
20,1953.799668,-0.000069,-0.000033,0.000022,-0.000138,-0.000069,-0.000033,0.000022,-0.000138,nan,nan,nan,nan,nan,nan,-1,stationary,21875,24000,0
21,1953.899504,-0.000059,-0.000025,0.000019,-0.000247,-0.000059,-0.000025,0.000019,-0.000247,nan,nan,nan,nan,nan,nan,-1,stationary,21965,24000,0
22,1953.999350,-0.000057,-0.000032,0.000023,-0.000233,-0.000057,-0.000032,0.000023,-0.000233,nan,nan,nan,nan,nan,nan,-1,stationary,22054,24000,0
23,1954.099600,-0.000064,-0.000035,0.000026,-0.000272,-0.000064,-0.000035,0.000026,-0.000272,nan,nan,nan,nan,nan,nan,-1,stationary,22188,24000,0
24,1954.199424,-0.000058,-0.000038,0.000014,-0.000171,-0.000058,-0.000038,0.000014,-0.000171,nan,nan,nan,nan,nan,nan,-1,stationary,22330,24000,0
25,1954.299665,-0.000069,-0.000035,0.000015,-0.000117,-0.000069,-0.000035,0.000015,-0.000117,nan,nan,nan,nan,nan,nan,-1,stationary,22466,24000,0
26,1954.399500,-0.000055,-0.000046,0.000015,-0.000036,-0.000055,-0.000046,0.000015,-0.000036,nan,nan,nan,nan,nan,nan,-1,stationary,22528,24000,0
27,1954.499329,-0.000063,-0.000052,0.000017,-0.000022,-0.000063,-0.000052,0.000017,-0.000022,nan,nan,nan,nan,nan,nan,-1,stationary,22603,24000,0
28,1954.599970,-0.000064,-0.000050,0.000021,-0.000030,-0.000064,-0.000050,0.000021,-0.000030,nan,nan,nan,nan,nan,nan,-1,stationary,22672,24000,0
29,1954.699816,-0.000064,-0.000057,0.000029,0.000009,-0.000064,-0.000057,0.000029,0.000009,nan,nan,nan,nan,nan,nan,-1,stationary,22719,24000,0
30,1954.799654,-0.000068,-0.000058,0.000032,0.000081,-0.000068,-0.000058,0.000032,0.000081,nan,nan,nan,nan,nan,nan,-1,stationary,22798,24000,0
31,1954.899494,-0.000062,-0.000059,0.000029,0.000145,-0.000062,-0.000059,0.000029,0.000145,nan,nan,nan,nan,nan,nan,-1,stationary,22842,24000,0
32,1954.999337,-0.000070,-0.000063,0.000029,0.000207,-0.000070,-0.000063,0.000029,0.000207,nan,nan,nan,nan,nan,nan,-1,stationary,22910,24000,0
33,1955.099979,-0.000068,-0.000063,0.000027,0.000222,-0.000068,-0.000063,0.000027,0.000222,nan,nan,nan,nan,nan,nan,-1,stationary,22954,24000,0
34,1955.199829,-0.000071,-0.000065,0.000026,0.000282,-0.000071,-0.000065,0.000026,0.000282,nan,nan,nan,nan,nan,nan,-1,stationary,23007,24000,0
35,1955.299679,-0.000065,-0.000068,0.000025,0.000088,-0.000065,-0.000068,0.000025,0.000088,nan,nan,nan,nan,nan,nan,-1,stationary,23076,24000,0
36,1955.399515,-0.000069,-0.000072,0.000025,0.000472,-0.000069,-0.000072,0.000025,0.000472,nan,nan,nan,nan,nan,nan,-1,stationary,23180,24000,0
37,1955.499358,-0.000076,-0.000062,0.000023,0.000437,-0.000076,-0.000062,0.000023,0.000437,nan,nan,nan,nan,nan,nan,-1,stationary,23321,24000,0
38,1955.599600,-0.000079,-0.000085,0.000030,0.000365,-0.000079,-0.000085,0.000030,0.000365,nan,nan,nan,nan,nan,nan,-1,stationary,23444,24000,0
39,1955.699435,-0.000015,-0.000072,0.000028,0.000448,-0.000015,-0.000072,0.000028,0.000448,nan,nan,nan,nan,nan,nan,-1,stationary,23486,24000,0
40,1955.799669,-0.000069,-0.000065,0.000023,0.000638,-0.000069,-0.000065,0.000023,0.000638,nan,nan,nan,nan,nan,nan,-1,stationary,23342,24000,0
41,1955.899516,-0.000095,-0.000070,0.000027,0.000633,-0.000095,-0.000070,0.000027,0.000633,nan,nan,nan,nan,nan,nan,-1,stationary,23464,24000,0
42,1955.999354,-0.000056,-0.000041,0.000028,0.000366,-0.000056,-0.000041,0.000028,0.000366,nan,nan,nan,nan,nan,nan,-1,stationary,23498,24000,0
43,1956.099994,-0.000070,-0.000080,0.000028,0.000620,-0.000070,-0.000080,0.000028,0.000620,nan,nan,nan,nan,nan,nan,-1,stationary,23536,24000,0
44,1956.199832,-0.000067,-0.000084,0.000027,0.000542,-0.000067,-0.000084,0.000027,0.000542,nan,nan,nan,nan,nan,nan,-1,stationary,23598,24000,0
45,1956.299680,-0.000059,-0.000067,0.000026,0.000533,-0.000059,-0.000067,0.000026,0.000533,nan,nan,nan,nan,nan,nan,-1,stationary,23637,24000,0
46,1956.399509,-0.000077,-0.000076,0.000031,0.000603,-0.000077,-0.000076,0.000031,0.000603,nan,nan,nan,nan,nan,nan,-1,stationary,23685,24000,0
47,1956.499352,-0.000053,-0.000075,0.000027,0.000384,-0.000053,-0.000075,0.000027,0.000384,nan,nan,nan,nan,nan,nan,-1,stationary,23733,24000,0
48,1956.599978,-0.000075,-0.000060,0.000027,0.000846,-0.000075,-0.000060,0.000027,0.000846,nan,nan,nan,nan,nan,nan,-1,stationary,23806,24000,0
49,1956.699822,-0.000046,-0.000056,0.000028,0.000378,-0.000046,-0.000056,0.000028,0.000378,nan,nan,nan,nan,nan,nan,-1,stationary,23885,24000,0
50,1956.799662,-0.000065,-0.000073,0.000023,0.000868,-0.000065,-0.000073,0.000023,0.000868,nan,nan,nan,nan,nan,nan,-1,stationary,23962,24000,0
51,1956.899516,0.000060,-0.000106,-0.000014,0.000134,0.000060,-0.000106,-0.000014,0.000134,nan,nan,nan,nan,nan,nan,-1,stationary,23998,24000,0
52,1956.999363,-0.000050,-0.000063,-0.000004,0.001521,-0.000050,-0.000063,-0.000004,0.001521,nan,nan,nan,nan,nan,nan,-1,stationary,24047,24000,0
53,1957.099993,-0.000032,-0.000090,-0.000001,0.003033,-0.000032,-0.000090,-0.000001,0.003033,nan,nan,nan,nan,nan,nan,-1,stationary,24076,24000,0
54,1957.199826,-0.000369,0.000061,0.000009,0.003801,-0.000369,0.000061,0.000009,0.003801,nan,nan,nan,nan,nan,nan,-1,stationary,24113,24000,0
55,1957.299666,0.000055,-0.000099,0.000006,0.004865,0.000055,-0.000099,0.000006,0.004865,nan,nan,nan,nan,nan,nan,-1,stationary,24160,24000,0
56,1957.399503,0.000018,-0.000111,0.000009,0.005439,0.000018,-0.000111,0.000009,0.005439,nan,nan,nan,nan,nan,nan,-1,stationary,24208,24000,0
57,1957.499354,-0.000008,-0.000131,0.000012,0.008699,-0.000008,-0.000131,0.000012,0.008699,nan,nan,nan,nan,nan,nan,-1,stationary,24312,24000,0
58,1957.599610,0.000058,-0.000129,-0.000001,0.008591,0.000058,-0.000129,-0.000001,0.008591,nan,nan,nan,nan,nan,nan,-1,stationary,24380,24000,0
59,1957.699452,0.000146,-0.000071,0.000007,0.009840,0.000146,-0.000071,0.000007,0.009840,nan,nan,nan,nan,nan,nan,-1,stationary,24640,24000,0
60,1957.799301,0.012400,0.000023,-0.003768,0.019769,0.001312,0.000592,-0.000013,0.017629,0.014356959214415793,-3.906383234730423e-05,-0.008593798015544319,0.00978609231798108,0.9715842572037802,0.011221648524211392,1,mild,24754,24000,1
61,1957.899948,0.021460,0.004796,-0.002082,0.030844,0.031987,0.002798,0.000610,0.032027,0.009850155217664533,0.0046493620422383645,-0.0005597281005066982,0.010994843106227954,0.9682711245167482,0.0031574919618449007,1,mild,24980,24000,1
62,1957.999785,0.032791,0.011898,-0.000997,0.035338,0.034039,0.012437,0.000256,0.041590,0.011944622402717608,0.006831459945363711,-8.616009982603551e-05,0.004429672581022424,0.9768366663060193,0.0017003493861961988,1,mild,25106,24000,1
63,1958.099626,0.046991,0.016329,0.000181,0.030693,0.033446,0.011091,0.000009,0.037505,0.01648605061246148,0.0060977724866455845,-0.0008826732002611592,-0.005022177183593088,0.979120815614051,0.02449033620777185,1,mild,25289,24000,1
64,1958.199467,0.063913,0.014500,-0.000275,0.017047,0.077692,0.017038,-0.000049,0.021146,0.016684487140979212,-0.0023730474884922914,-0.00031413153331116193,-0.01365057271360643,0.9673470987356282,0.003523075647043464,1,mild,25574,24000,1
65,1958.299321,0.076146,0.002929,0.000137,0.008670,0.076098,0.002884,0.000285,0.000878,0.012067182342604052,-0.011868524359009223,0.00048777007694897286,-0.008328198789904855,0.969962777540086,0.003678731528579107,1,mild,25873,24000,1
66,1958.399966,0.100916,-0.006501,0.000609,-0.005370,0.101370,-0.026970,0.000078,-0.016751,0.02328142781984162,-0.00888237709740021,0.004770968724830575,-0.013960544360415552,0.9643464538173254,0.004892186944903806,1,translating,26335,24000,1
67,1958.499797,0.118063,-0.020020,0.000776,-0.020223,0.105403,-0.006091,0.001386,-0.010450,0.027316438152611477,-0.009948268887718622,-0.00467910553628353,-0.017787859437893273,0.9614725663169484,0.39835551243741174,1,translating,27045,24000,1
68,1958.599637,0.144994,-0.023403,-0.002040,-0.031969,0.178616,-0.064733,-0.000791,-0.041879,0.027723430652256686,8.18283436708235e-05,-0.006776685765812075,-0.011991363273606132,0.9696457210261852,0.022178507751173145,1,translating,27332,24000,1
69,1958.699475,0.165431,-0.025808,-0.000811,-0.038088,0.164798,-0.025110,0.000338,-0.040443,0.02211191413872904,-0.0019960630404705464,-0.0033427417754727583,-0.006071558268863494,0.9711352506369137,0.0024440686990506826,1,translating,27710,24000,1
70,1958.799308,0.188218,-0.030144,-0.000209,-0.041170,0.183914,-0.024076,0.000352,-0.045647,0.023679967074560743,-0.004320411571918932,-0.0011113288683542969,-0.003004283714642023,0.9749074939336807,0.001533122982669155,1,translating,28050,24000,1
71,1958.899960,0.207127,-0.032314,0.000388,-0.043294,0.185924,-0.029591,-0.000087,-0.044679,0.02333234668020301,-0.0019940215137619725,-0.0019637845073006265,-0.0022608472314569685,0.974630840722091,0.09145856095802088,1,mild,28536,24000,1
72,1958.999810,0.236347,-0.039853,-0.000955,-0.049172,0.214122,-0.033353,-0.002136,-0.049079,0.033242962016159644,-0.009458257333085331,-0.0048500575521059925,-0.005924466041641787,0.9673150514724514,0.023639468920653068,1,translating,29016,24000,1
73,1959.099657,0.269457,-0.048235,-0.001067,-0.054552,0.299328,-0.052904,0.000363,-0.057055,0.03389390163036546,-0.00646747327319196,-0.003308184258352524,-0.005349577010777337,0.9727910129999378,0.01191134862946696,1,translating,29288,24000,1
74,1959.199491,0.298793,-0.048344,-0.000853,-0.059075,0.294662,-0.055676,-0.000362,-0.058244,0.03021967419149124,0.002350049713624326,-0.002178133434400618,-0.004585962642411118,0.9719573874666266,0.0013156452387344704,1,translating,29566,24000,1
75,1959.299333,0.332212,-0.064689,-0.000264,-0.060631,0.337880,-0.051749,0.000249,-0.065798,0.035331575753320243,-0.01580673002553733,-0.002429299200744247,-0.001534579858139694,0.9693914631506906,0.0025540484139587186,1,translating,29812,24000,1
76,1959.399981,0.364745,-0.071599,-0.000238,-0.062572,0.363769,-0.082056,0.000126,-0.062656,0.03393747944320835,-0.003777323169512778,-0.002861679082683595,-0.002044562091837189,0.1,0.0010942503355281961,1,translating,30065,24000,1
77,1959.499822,0.390271,-0.075128,-0.001021,-0.058530,0.379675,-0.074584,-0.000693,-0.059434,0.028546223800345882,-0.0020226068285248908,-0.005517348042446816,0.0040337803375745185,0.9710131556469624,0.005664401043253566,1,translating,30343,24000,1
78,1959.599660,0.425783,-0.076893,-0.000844,-0.058276,0.438608,-0.084644,0.000154,-0.053745,0.03782127816660491,0.0010680847592625525,-0.007370490463934127,0.00011885304670501099,0.970987644771406,0.005266552492797384,1,translating,30693,24000,1
79,1959.699502,0.453869,-0.087769,-0.000321,-0.058469,0.451952,-0.078705,0.000606,-0.059152,0.02995420503902546,-0.010843314273585633,-0.002778688491458294,-0.0001683956681578876,0.9734307549878204,0.0022378257636920928,1,translating,30859,24000,1
80,1959.799358,0.480270,-0.094085,-0.000197,-0.058211,0.456829,-0.087566,-0.000147,-0.059669,0.029792996486754375,-0.0059385245785266855,-0.0033403749528873356,0.00028000480818431085,0.9727626711349153,0.05664134735809416,1,mild,30864,24000,1
81,1959.899624,0.505427,-0.099334,-0.001148,-0.057569,0.483930,-0.094459,-0.000300,-0.058600,0.03446490759734633,-0.006389798108512965,-0.012192581533234152,0.0005864534826184715,0.9740844582505301,0.17495551559411207,1,mild,31181,24000,1
82,1959.999459,0.541612,-0.111463,-0.000802,-0.057043,0.543735,-0.104673,-0.000068,-0.056735,0.03883590776935564,-0.011768293340127856,-0.005721771111175267,0.0005867462590637879,0.9691706281467218,0.0031650145906107242,1,translating,31315,24000,1
83,1960.099306,0.565595,-0.118068,-0.000257,-0.055929,0.543257,-0.110958,-0.001220,-0.059606,0.036691458672360344,-0.010900121896974438,-0.010492679662290812,0.0011818165993466995,0.9718339883125344,0.09612956272243171,1,translating,31638,24000,1
84,1960.199941,0.607591,-0.133204,-0.001434,-0.052469,0.599446,-0.123764,0.000632,-0.053316,0.04566141264664947,-0.015256309034943266,-0.008683429760987285,0.0035024921447137643,0.9613377573749053,0.005372767536010404,1,translating,31965,24000,1
85,1960.299761,0.640330,-0.144577,-0.000685,-0.046280,0.652490,-0.149897,0.001241,-0.046000,0.034777174925240684,-0.009023974546297275,-0.0044194256514959954,0.006122163936976959,0.9723142819184127,0.003667573552284491,1,translating,32243,24000,1
86,1960.399604,0.677942,-0.160034,-0.000259,-0.035129,0.670283,-0.154355,0.000114,-0.037776,0.039563655684641263,-0.014448931881009444,-0.002641314045896964,0.011068676985116854,0.9603465494631052,0.0016085823779836699,1,translating,32711,24000,1
87,1960.499437,0.705690,-0.166681,-0.001344,-0.016388,0.701220,-0.170044,0.000191,-0.020880,0.030904346671995375,-0.005372384983430928,-0.008211566242657762,0.01872760319538269,0.6097281070931657,0.006366500618120526,1,translating,33137,24000,1
88,1960.599669,0.733402,-0.167177,-0.000829,-0.000427,0.744935,-0.176505,0.000823,0.003075,0.028810728977232247,0.001090322574135022,-0.003553862586797043,0.01583627144654617,0.9617984793584672,0.003200919596544086,1,translating,33618,24000,1
89,1960.699502,0.755432,-0.162280,-0.001239,0.020993,0.753104,-0.160971,-0.000031,0.022489,0.024120954499741276,0.004863441617018738,-0.006354064067286208,0.021334593647430858,0.9614937836548424,0.002061172436453852,1,translating,34084,24000,1
90,1960.799339,0.780321,-0.152768,-0.005602,0.038817,0.772608,-0.155697,-0.000118,0.048846,0.027840669374804117,0.009364452218819319,-0.012729795523948737,0.017465552664414664,0.9614548001010694,0.017471449402353047,1,mild,34431,24000,1
91,1960.899995,0.804877,-0.148597,-0.001091,0.050969,0.820032,-0.135057,0.000030,0.068670,0.02790249525798416,0.0023882988981222264,-0.006053799039242265,0.011964830597283042,0.9685391877355077,0.012787213802922848,1,translating,34601,24000,1
92,1960.999832,0.821648,-0.150971,-0.001546,0.059404,0.806443,-0.147979,-0.000895,0.052358,0.02898775720151714,-0.009326101458510733,-0.010800970746614584,0.010174082939829259,0.9713218199781278,0.1842155313116919,1,translating,34829,24000,1
93,1961.099665,0.852085,-0.160189,-0.002887,0.066816,0.859548,-0.142659,0.000143,0.068952,0.03347235989488773,-0.014067855931954726,-0.012637003503181662,0.007394007774780112,0.9736220230210025,0.008866116235911256,1,translating,34962,24000,1
94,1961.199497,0.880962,-0.163708,-0.004537,0.059228,0.884207,-0.171826,0.000829,0.065534,0.031157160149917207,-0.005414382051648486,-0.008855157987734496,-0.007874239340475089,0.970385565534969,0.013745743658856724,1,mild,35146,24000,1
95,1961.299338,0.907889,-0.166490,-0.001154,0.042004,0.909339,-0.168799,0.000259,0.040007,0.031424113000775855,-0.0044041261796326225,-0.010014275092757674,-0.01741747619385058,0.9671583114554073,0.00886141264578138,1,translating,35438,24000,1
96,1961.399968,0.938489,-0.157838,-0.000875,0.025808,0.929560,-0.165859,0.000110,0.021919,0.03528977701732372,0.008259892542806985,-0.010605687759361944,-0.016355565714028467,0.9621709528989449,0.007553760576881409,1,translating,35635,24000,1
97,1961.499800,0.971055,-0.160594,-0.001723,0.017400,0.963061,-0.152868,-0.000388,0.018328,0.03570983753834056,-0.005638323210572421,-0.008823193571172063,-0.008445239842746848,0.9708597011852966,0.005833663458619239,1,translating,35848,24000,1
98,1961.599645,1.003171,-0.161055,-0.001517,0.014094,1.023625,-0.161709,0.000121,0.011430,0.033468105710119156,-0.001367578944751674,-0.005796161405451254,-0.0033700713378912576,0.9676597658869893,0.005986738866900939,1,translating,36036,24000,1
99,1961.699489,1.030996,-0.161812,-0.001319,0.010441,1.026283,-0.162736,-0.000300,0.007958,0.0300390107409354,-0.0013817028323933334,-0.005884421041375456,-0.0036816445287844875,0.9716224525222872,0.0027747693970698924,1,translating,36153,24000,1
100,1961.799340,1.057152,-0.164480,0.000288,0.013770,1.036789,-0.162037,0.000055,0.012196,0.027133657679249135,-0.0032674870453465177,0.0019426201401901285,0.003401180018945557,0.9741421009709678,0.024194454419512176,1,mild,36027,24000,1
101,1961.899988,1.088325,-0.155551,0.000389,0.014476,1.060269,-0.164247,0.000290,0.017004,0.03752365456317586,0.014973385851075632,-0.006585800280801702,0.00031344048394579377,0.9671619872933628,0.030610467036586344,1,translating,36230,24000,1
102,1961.999840,1.111040,-0.151056,-0.000590,0.020398,1.096967,-0.153125,0.001205,0.015088,0.03429586667953188,-0.001011725602312885,-0.010608273358228983,0.007440577051096411,0.9681918599606141,0.1534154571599608,1,translating,36417,24000,1
103,1962.099669,1.149736,-0.142698,-0.002451,0.029926,1.179561,-0.125446,0.000069,0.031109,0.04201969612348844,0.004263564166275519,-0.01566448165247805,0.009625433163037184,0.963796233995026,0.020470995753699168,1,translating,36555,24000,1
104,1962.199496,1.185218,-0.144800,-0.002994,0.041299,1.185023,-0.138547,-0.000037,0.043987,0.041220831558671955,-0.004256805831446109,-0.01754542578162624,0.01108879448248279,0.9606423880340064,0.012432407352424563,1,translating,36735,24000,1
105,1962.299327,1.220339,-0.155573,-0.002547,0.045537,1.224089,-0.147705,0.000348,0.051869,0.03998789549155646,-0.014020412627521045,-0.015221029958203063,0.004036020468330737,0.9729829024338214,0.014668796847465563,1,translating,36856,24000,1
106,1962.399970,1.254721,-0.157617,-0.001244,0.050444,1.267221,-0.162980,-0.000114,0.052034,0.03789150328574098,-0.0030435738567846926,-0.010004360198398864,0.00470172086122174,0.9719051321334701,0.007048646185190451,1,translating,36995,24000,1
107,1962.499799,1.287091,-0.158717,-0.000973,0.058262,1.267276,-0.160094,-0.000251,0.054865,0.03881253784390326,-0.003423146198570204,-0.012813822377905642,0.007711822899779143,0.9691726690180943,0.01663942032969559,1,translating,37148,24000,1
108,1962.599630,1.323398,-0.160192,-0.001022,0.059708,1.317456,-0.160437,0.000584,0.061037,0.04105906810179505,-0.0034278656043083555,-0.011158268709020862,0.0012092084681190566,0.9677506434009944,0.006397119357544177,1,translating,37264,24000,1
109,1962.699467,1.362164,-0.158828,-0.000518,0.063937,1.392667,-0.159106,0.000101,0.060984,0.040278277095934456,-0.0012862293636477229,-0.005320050832169055,0.004151775333532635,0.9699741014007384,0.005629572665341804,1,translating,37397,24000,1
110,1962.799303,1.399646,-0.152821,-0.001301,0.065712,1.382071,-0.159027,-0.000224,0.066895,0.04323706914274017,0.00507361661180436,-0.010737486749024512,0.0015262103258782847,0.9679294547654655,0.009886683018159143,1,translating,37577,24000,1
111,1962.899944,1.437713,-0.144296,-0.000586,0.059626,1.465718,-0.146407,-0.000145,0.063178,0.03927919650635858,0.006250450640206601,-0.003756263108146414,-0.006244342502218261,0.9687681512839569,0.006969443154750792,1,translating,37717,24000,1
112,1962.999788,1.471496,-0.139277,-0.001235,0.062597,1.458152,-0.135954,-0.000209,0.057173,0.03867960279000049,0.0018541704270624848,-0.010662692415389897,0.002985732588851133,0.9686252938020646,0.008090804489569078,1,translating,37849,24000,1
