scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,5010,24000,0
1,1951.899477,-0.000004,-0.000004,0.000001,0.000004,-0.000004,-0.000004,0.000001,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,6227,24000,0
2,1951.999327,-0.000005,-0.000006,0.000001,-0.000095,-0.000005,-0.000006,0.000001,-0.000095,nan,nan,nan,nan,nan,nan,-1,stationary,6607,24000,0
3,1952.099978,-0.000005,-0.000007,0.000002,-0.000061,-0.000005,-0.000007,0.000002,-0.000061,nan,nan,nan,nan,nan,nan,-1,stationary,6818,24000,0
4,1952.199821,-0.000008,-0.000012,0.000001,-0.000074,-0.000008,-0.000012,0.000001,-0.000074,nan,nan,nan,nan,nan,nan,-1,stationary,6969,24000,0
5,1952.299657,-0.000008,-0.000016,0.000007,-0.000050,-0.000008,-0.000016,0.000007,-0.000050,nan,nan,nan,nan,nan,nan,-1,stationary,7095,24000,0
6,1952.399498,-0.000007,-0.000015,0.000006,0.000067,-0.000007,-0.000015,0.000006,0.000067,nan,nan,nan,nan,nan,nan,-1,stationary,7170,24000,0
7,1952.499356,-0.000009,-0.000013,0.000006,0.000107,-0.000009,-0.000013,0.000006,0.000107,nan,nan,nan,nan,nan,nan,-1,stationary,7242,24000,0
8,1952.599997,-0.000008,-0.000010,0.000006,0.000030,-0.000008,-0.000010,0.000006,0.000030,nan,nan,nan,nan,nan,nan,-1,stationary,7313,24000,0
9,1952.699828,-0.000006,-0.000006,0.000010,0.000039,-0.000006,-0.000006,0.000010,0.000039,nan,nan,nan,nan,nan,nan,-1,stationary,7370,24000,0
10,1952.799667,-0.000007,-0.000004,0.000012,0.000043,-0.000007,-0.000004,0.000012,0.000043,nan,nan,nan,nan,nan,nan,-1,stationary,7437,24000,0
11,1952.899509,-0.000012,-0.000009,0.000014,0.000062,-0.000012,-0.000009,0.000014,0.000062,nan,nan,nan,nan,nan,nan,-1,stationary,7519,24000,0
12,1952.999356,-0.000012,-0.000012,0.000015,0.000054,-0.000012,-0.000012,0.000015,0.000054,nan,nan,nan,nan,nan,nan,-1,stationary,7598,24000,0
13,1953.099604,-0.000011,-0.000012,0.000015,0.000056,-0.000011,-0.000012,0.000015,0.000056,nan,nan,nan,nan,nan,nan,-1,stationary,7639,24000,0
14,1953.199446,-0.000007,-0.000012,0.000012,0.000000,-0.000007,-0.000012,0.000012,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,7678,24000,0
15,1953.299291,-0.000013,-0.000008,0.000013,-0.000179,-0.000013,-0.000008,0.000013,-0.000179,nan,nan,nan,nan,nan,nan,-1,stationary,7717,24000,0
16,1953.399912,0.000006,-0.000017,0.000011,-0.000329,0.000006,-0.000017,0.000011,-0.000329,nan,nan,nan,nan,nan,nan,-1,stationary,7762,24000,0
17,1953.499759,-0.000024,-0.000025,0.000017,-0.000065,-0.000024,-0.000025,0.000017,-0.000065,nan,nan,nan,nan,nan,nan,-1,stationary,7812,24000,0
18,1953.599598,-0.000011,-0.000006,0.000015,-0.000218,-0.000011,-0.000006,0.000015,-0.000218,nan,nan,nan,nan,nan,nan,-1,stationary,7866,24000,0
19,1953.699431,-0.000008,-0.000014,0.000014,-0.000086,-0.000008,-0.000014,0.000014,-0.000086,nan,nan,nan,nan,nan,nan,-1,stationary,7893,24000,0
20,1953.799668,-0.000014,-0.000022,0.000015,-0.000080,-0.000014,-0.000022,0.000015,-0.000080,nan,nan,nan,nan,nan,nan,-1,stationary,7811,24000,0
21,1953.899504,-0.000005,-0.000012,0.000013,-0.000187,-0.000005,-0.000012,0.000013,-0.000187,nan,nan,nan,nan,nan,nan,-1,stationary,7829,24000,0
22,1953.999350,-0.000006,-0.000020,0.000017,-0.000172,-0.000006,-0.000020,0.000017,-0.000172,nan,nan,nan,nan,nan,nan,-1,stationary,7855,24000,0
23,1954.099600,-0.000029,-0.000018,0.000051,-0.000216,-0.000029,-0.000018,0.000051,-0.000216,nan,nan,nan,nan,nan,nan,-1,stationary,7887,24000,0
24,1954.199424,-0.000021,-0.000018,0.000049,-0.000186,-0.000021,-0.000018,0.000049,-0.000186,nan,nan,nan,nan,nan,nan,-1,stationary,7964,24000,0
25,1954.299665,-0.000030,-0.000015,0.000046,-0.000131,-0.000030,-0.000015,0.000046,-0.000131,nan,nan,nan,nan,nan,nan,-1,stationary,8022,24000,0
26,1954.399500,-0.000014,-0.000026,0.000043,-0.000051,-0.000014,-0.000026,0.000043,-0.000051,nan,nan,nan,nan,nan,nan,-1,stationary,8040,24000,0
27,1954.499329,-0.000023,-0.000027,0.000043,-0.000040,-0.000023,-0.000027,0.000043,-0.000040,nan,nan,nan,nan,nan,nan,-1,stationary,8048,24000,0
28,1954.599970,-0.000022,-0.000023,0.000045,-0.000047,-0.000022,-0.000023,0.000045,-0.000047,nan,nan,nan,nan,nan,nan,-1,stationary,8064,24000,0
29,1954.699816,-0.000022,-0.000028,0.000050,-0.000008,-0.000022,-0.000028,0.000050,-0.000008,nan,nan,nan,nan,nan,nan,-1,stationary,8076,24000,0
30,1954.799654,-0.000025,-0.000028,0.000049,0.000060,-0.000025,-0.000028,0.000049,0.000060,nan,nan,nan,nan,nan,nan,-1,stationary,8089,24000,0
31,1954.899494,-0.000023,-0.000024,0.000044,0.000140,-0.000023,-0.000024,0.000044,0.000140,nan,nan,nan,nan,nan,nan,-1,stationary,8104,24000,0
32,1954.999337,-0.000029,-0.000027,0.000045,0.000150,-0.000029,-0.000027,0.000045,0.000150,nan,nan,nan,nan,nan,nan,-1,stationary,8122,24000,0
