scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,5074,24000,0
1,1951.899477,-0.000004,-0.000004,0.000001,0.000004,-0.000004,-0.000004,0.000001,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,6368,24000,0
2,1951.999327,-0.000005,-0.000006,0.000001,-0.000105,-0.000005,-0.000006,0.000001,-0.000105,nan,nan,nan,nan,nan,nan,-1,stationary,6755,24000,0
3,1952.099978,-0.000005,-0.000008,0.000002,-0.000049,-0.000005,-0.000008,0.000002,-0.000049,nan,nan,nan,nan,nan,nan,-1,stationary,6979,24000,0
4,1952.199821,-0.000008,-0.000013,0.000001,-0.000074,-0.000008,-0.000013,0.000001,-0.000074,nan,nan,nan,nan,nan,nan,-1,stationary,7147,24000,0
5,1952.299657,-0.000008,-0.000017,0.000006,-0.000050,-0.000008,-0.000017,0.000006,-0.000050,nan,nan,nan,nan,nan,nan,-1,stationary,7273,24000,0
6,1952.399498,-0.000008,-0.000016,0.000005,0.000067,-0.000008,-0.000016,0.000005,0.000067,nan,nan,nan,nan,nan,nan,-1,stationary,7361,24000,0
7,1952.499356,-0.000010,-0.000014,0.000006,0.000107,-0.000010,-0.000014,0.000006,0.000107,nan,nan,nan,nan,nan,nan,-1,stationary,7432,24000,0
8,1952.599997,-0.000008,-0.000011,0.000006,0.000030,-0.000008,-0.000011,0.000006,0.000030,nan,nan,nan,nan,nan,nan,-1,stationary,7502,24000,0
9,1952.699828,-0.000007,-0.000007,0.000009,0.000039,-0.000007,-0.000007,0.000009,0.000039,nan,nan,nan,nan,nan,nan,-1,stationary,7550,24000,0
10,1952.799667,-0.000009,-0.000004,0.000011,0.000022,-0.000009,-0.000004,0.000011,0.000022,nan,nan,nan,nan,nan,nan,-1,stationary,7611,24000,0
11,1952.899509,-0.000014,-0.000009,0.000013,0.000041,-0.000014,-0.000009,0.000013,0.000041,nan,nan,nan,nan,nan,nan,-1,stationary,7697,24000,0
12,1952.999356,-0.000014,-0.000012,0.000013,0.000032,-0.000014,-0.000012,0.000013,0.000032,nan,nan,nan,nan,nan,nan,-1,stationary,7768,24000,0
13,1953.099604,-0.000013,-0.000013,0.000011,0.000034,-0.000013,-0.000013,0.000011,0.000034,nan,nan,nan,nan,nan,nan,-1,stationary,7828,24000,0
14,1953.199446,-0.000010,-0.000013,0.000008,-0.000021,-0.000010,-0.000013,0.000008,-0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,7857,24000,0
15,1953.299291,-0.000015,-0.000010,0.000008,-0.000200,-0.000015,-0.000010,0.000008,-0.000200,nan,nan,nan,nan,nan,nan,-1,stationary,7894,24000,0
16,1953.399912,0.000004,-0.000018,0.000005,-0.000350,0.000004,-0.000018,0.000005,-0.000350,nan,nan,nan,nan,nan,nan,-1,stationary,7919,24000,0
17,1953.499759,-0.000026,-0.000027,0.000011,-0.000086,-0.000026,-0.000027,0.000011,-0.000086,nan,nan,nan,nan,nan,nan,-1,stationary,7949,24000,0
18,1953.599598,-0.000023,-0.000017,0.000006,-0.000202,-0.000023,-0.000017,0.000006,-0.000202,nan,nan,nan,nan,nan,nan,-1,stationary,7970,24000,0
19,1953.699431,-0.000025,-0.000027,0.000008,-0.000090,-0.000025,-0.000027,0.000008,-0.000090,nan,nan,nan,nan,nan,nan,-1,stationary,7989,24000,0
20,1953.799668,-0.000029,-0.000032,0.000009,-0.000085,-0.000029,-0.000032,0.000009,-0.000085,nan,nan,nan,nan,nan,nan,-1,stationary,7909,24000,0
21,1953.899504,-0.000016,-0.000020,0.000006,-0.000191,-0.000016,-0.000020,0.000006,-0.000191,nan,nan,nan,nan,nan,nan,-1,stationary,7918,24000,0
22,1953.999350,-0.000016,-0.000027,0.000010,-0.000176,-0.000016,-0.000027,0.000010,-0.000176,nan,nan,nan,nan,nan,nan,-1,stationary,7939,24000,0
