scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,1945,24000,0
1,1951.899477,-0.000004,-0.000004,0.000002,0.000004,-0.000004,-0.000004,0.000002,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,2206,24000,0
2,1951.999327,-0.000008,-0.000006,0.000002,-0.000037,-0.000008,-0.000006,0.000002,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,2281,24000,0
3,1952.099978,-0.000009,-0.000008,0.000002,-0.000057,-0.000009,-0.000008,0.000002,-0.000057,nan,nan,nan,nan,nan,nan,-1,stationary,2313,24000,0
4,1952.199821,-0.000013,-0.000013,0.000002,-0.000070,-0.000013,-0.000013,0.000002,-0.000070,nan,nan,nan,nan,nan,nan,-1,stationary,2339,24000,0
5,1952.299657,-0.000015,-0.000020,0.000007,-0.000046,-0.000015,-0.000020,0.000007,-0.000046,nan,nan,nan,nan,nan,nan,-1,stationary,2358,24000,0
6,1952.399498,-0.000015,-0.000022,0.000006,0.000071,-0.000015,-0.000022,0.000006,0.000071,nan,nan,nan,nan,nan,nan,-1,stationary,2371,24000,0
7,1952.499356,-0.000016,-0.000023,0.000004,0.000069,-0.000016,-0.000023,0.000004,0.000069,nan,nan,nan,nan,nan,nan,-1,stationary,2385,24000,0
8,1952.599997,-0.000016,-0.000022,0.000004,0.000022,-0.000016,-0.000022,0.000004,0.000022,nan,nan,nan,nan,nan,nan,-1,stationary,2397,24000,0
9,1952.699828,-0.000014,-0.000018,0.000008,0.000017,-0.000014,-0.000018,0.000008,0.000017,nan,nan,nan,nan,nan,nan,-1,stationary,2408,24000,0
10,1952.799667,-0.000017,-0.000013,0.000011,-0.000001,-0.000017,-0.000013,0.000011,-0.000001,nan,nan,nan,nan,nan,nan,-1,stationary,2425,24000,0
11,1952.899509,-0.000024,-0.000016,0.000013,0.000018,-0.000024,-0.000016,0.000013,0.000018,nan,nan,nan,nan,nan,nan,-1,stationary,2471,24000,0
12,1952.999356,-0.000028,-0.000020,0.000014,0.000010,-0.000028,-0.000020,0.000014,0.000010,nan,nan,nan,nan,nan,nan,-1,stationary,2521,24000,0
13,1953.099604,-0.000029,-0.000022,0.000014,0.000012,-0.000029,-0.000022,0.000014,0.000012,nan,nan,nan,nan,nan,nan,-1,stationary,2551,24000,0
14,1953.199446,-0.000028,-0.000024,0.000011,-0.000043,-0.000028,-0.000024,0.000011,-0.000043,nan,nan,nan,nan,nan,nan,-1,stationary,2563,24000,0
15,1953.299291,-0.000036,-0.000022,0.000012,-0.000223,-0.000036,-0.000022,0.000012,-0.000223,nan,nan,nan,nan,nan,nan,-1,stationary,2573,24000,0
16,1953.399912,-0.000019,-0.000030,0.000009,-0.000373,-0.000019,-0.000030,0.000009,-0.000373,nan,nan,nan,nan,nan,nan,-1,stationary,2580,24000,0
17,1953.499759,-0.000045,-0.000046,0.000015,-0.000106,-0.000045,-0.000046,0.000015,-0.000106,nan,nan,nan,nan,nan,nan,-1,stationary,2587,24000,0
18,1953.599598,-0.000043,-0.000031,0.000013,-0.000258,-0.000043,-0.000031,0.000013,-0.000258,nan,nan,nan,nan,nan,nan,-1,stationary,2587,24000,0
19,1953.699431,-0.000037,-0.000036,0.000012,-0.000127,-0.000037,-0.000036,0.000012,-0.000127,nan,nan,nan,nan,nan,nan,-1,stationary,2589,24000,0
20,1953.799668,-0.000048,-0.000049,0.000012,-0.000119,-0.000048,-0.000049,0.000012,-0.000119,nan,nan,nan,nan,nan,nan,-1,stationary,2484,24000,0
21,1953.899504,-0.000039,-0.000042,0.000010,-0.000227,-0.000039,-0.000042,0.000010,-0.000227,nan,nan,nan,nan,nan,nan,-1,stationary,2487,24000,0
22,1953.999350,-0.000040,-0.000050,0.000014,-0.000213,-0.000040,-0.000050,0.000014,-0.000213,nan,nan,nan,nan,nan,nan,-1,stationary,2497,24000,0
23,1954.099600,-0.000064,-0.000053,0.000047,-0.000254,-0.000064,-0.000053,0.000047,-0.000254,nan,nan,nan,nan,nan,nan,-1,stationary,2520,24000,0
24,1954.199424,-0.000064,-0.000053,0.000043,-0.000225,-0.000064,-0.000053,0.000043,-0.000225,nan,nan,nan,nan,nan,nan,-1,stationary,2562,24000,0
