scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,7807,24000,0
1,1951.899477,-0.000004,-0.000004,0.000002,0.000004,-0.000004,-0.000004,0.000002,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,10560,24000,0
2,1951.999327,-0.000008,-0.000006,0.000002,-0.000037,-0.000008,-0.000006,0.000002,-0.000037,nan,nan,nan,nan,nan,nan,-1,stationary,11641,24000,0
3,1952.099978,-0.000009,-0.000007,0.000002,-0.000065,-0.000009,-0.000007,0.000002,-0.000065,nan,nan,nan,nan,nan,nan,-1,stationary,12256,24000,0
4,1952.199821,-0.000013,-0.000013,0.000002,-0.000070,-0.000013,-0.000013,0.000002,-0.000070,nan,nan,nan,nan,nan,nan,-1,stationary,12671,24000,0
5,1952.299657,-0.000014,-0.000019,0.000007,-0.000046,-0.000014,-0.000019,0.000007,-0.000046,nan,nan,nan,nan,nan,nan,-1,stationary,12957,24000,0
6,1952.399498,-0.000014,-0.000021,0.000006,0.000071,-0.000014,-0.000021,0.000006,0.000071,nan,nan,nan,nan,nan,nan,-1,stationary,13210,24000,0
7,1952.499356,-0.000017,-0.000020,0.000007,0.000111,-0.000017,-0.000020,0.000007,0.000111,nan,nan,nan,nan,nan,nan,-1,stationary,13425,24000,0
8,1952.599997,-0.000017,-0.000020,0.000007,0.000053,-0.000017,-0.000020,0.000007,0.000053,nan,nan,nan,nan,nan,nan,-1,stationary,13622,24000,0
9,1952.699828,-0.000015,-0.000015,0.000011,0.000043,-0.000015,-0.000015,0.000011,0.000043,nan,nan,nan,nan,nan,nan,-1,stationary,13767,24000,0
10,1952.799667,-0.000017,-0.000010,0.000014,0.000025,-0.000017,-0.000010,0.000014,0.000025,nan,nan,nan,nan,nan,nan,-1,stationary,13899,24000,0
11,1952.899509,-0.000023,-0.000013,0.000016,0.000044,-0.000023,-0.000013,0.000016,0.000044,nan,nan,nan,nan,nan,nan,-1,stationary,14061,24000,0
12,1952.999356,-0.000026,-0.000017,0.000017,0.000036,-0.000026,-0.000017,0.000017,0.000036,nan,nan,nan,nan,nan,nan,-1,stationary,14217,24000,0
13,1953.099604,-0.000026,-0.000018,0.000017,0.000038,-0.000026,-0.000018,0.000017,0.000038,nan,nan,nan,nan,nan,nan,-1,stationary,14338,24000,0
14,1953.199446,-0.000023,-0.000019,0.000014,-0.000017,-0.000023,-0.000019,0.000014,-0.000017,nan,nan,nan,nan,nan,nan,-1,stationary,14414,24000,0
15,1953.299291,-0.000029,-0.000016,0.000016,-0.000197,-0.000029,-0.000016,0.000016,-0.000197,nan,nan,nan,nan,nan,nan,-1,stationary,14491,24000,0
16,1953.399912,-0.000012,-0.000025,0.000013,-0.000347,-0.000012,-0.000025,0.000013,-0.000347,nan,nan,nan,nan,nan,nan,-1,stationary,14564,24000,0
17,1953.499759,-0.000039,-0.000037,0.000019,-0.000081,-0.000039,-0.000037,0.000019,-0.000081,nan,nan,nan,nan,nan,nan,-1,stationary,14630,24000,0
18,1953.599598,-0.000031,-0.000020,0.000017,-0.000233,-0.000031,-0.000020,0.000017,-0.000233,nan,nan,nan,nan,nan,nan,-1,stationary,14689,24000,0
19,1953.699431,-0.000026,-0.000026,0.000017,-0.000102,-0.000026,-0.000026,0.000017,-0.000102,nan,nan,nan,nan,nan,nan,-1,stationary,14752,24000,0
20,1953.799668,-0.000034,-0.000036,0.000017,-0.000094,-0.000034,-0.000036,0.000017,-0.000094,nan,nan,nan,nan,nan,nan,-1,stationary,14689,24000,0
21,1953.899504,-0.000025,-0.000027,0.000015,-0.000202,-0.000025,-0.000027,0.000015,-0.000202,nan,nan,nan,nan,nan,nan,-1,stationary,14731,24000,0
22,1953.999350,-0.000025,-0.000035,0.000019,-0.000188,-0.000025,-0.000035,0.000019,-0.000188,nan,nan,nan,nan,nan,nan,-1,stationary,14787,24000,0
23,1954.099600,-0.000048,-0.000035,0.000054,-0.000230,-0.000048,-0.000035,0.000054,-0.000230,nan,nan,nan,nan,nan,nan,-1,stationary,14859,24000,0
