scan_num,stamp,x,y,z,yaw,imu_x,imu_y,imu_z,imu_yaw,gicp_dx,gicp_dy,gicp_dz,gicp_dyaw,gicp_conf,chi2,accepted,motion,n_map_vox,n_scan_pts,use_submap
0,1951.799651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,nan,nan,-1,stationary,1378,24000,0
1,1951.899477,-0.000004,-0.000004,0.000002,0.000004,-0.000004,-0.000004,0.000002,0.000004,nan,nan,nan,nan,nan,nan,-1,stationary,1534,24000,0
2,1951.999327,-0.000007,-0.000006,0.000002,-0.000066,-0.000007,-0.000006,0.000002,-0.000066,nan,nan,nan,nan,nan,nan,-1,stationary,1570,24000,0
3,1952.099978,-0.000007,-0.000008,0.000003,-0.000062,-0.000007,-0.000008,0.000003,-0.000062,nan,nan,nan,nan,nan,nan,-1,stationary,1587,24000,0
4,1952.199821,-0.000009,-0.000014,0.000002,-0.000074,-0.000009,-0.000014,0.000002,-0.000074,nan,nan,nan,nan,nan,nan,-1,stationary,1606,24000,0
5,1952.299657,-0.000010,-0.000020,0.000007,-0.000049,-0.000010,-0.000020,0.000007,-0.000049,nan,nan,nan,nan,nan,nan,-1,stationary,1620,24000,0
6,1952.399498,-0.000010,-0.000021,0.000007,0.000068,-0.000010,-0.000021,0.000007,0.000068,nan,nan,nan,nan,nan,nan,-1,stationary,1635,24000,0
7,1952.499356,-0.000013,-0.000020,0.000007,0.000107,-0.000013,-0.000020,0.000007,0.000107,nan,nan,nan,nan,nan,nan,-1,stationary,1640,24000,0
8,1952.599997,-0.000013,-0.000019,0.000008,0.000046,-0.000013,-0.000019,0.000008,0.000046,nan,nan,nan,nan,nan,nan,-1,stationary,1652,24000,0
9,1952.699828,-0.000010,-0.000014,0.000011,0.000039,-0.000010,-0.000014,0.000011,0.000039,nan,nan,nan,nan,nan,nan,-1,stationary,1661,24000,0
10,1952.799667,-0.000012,-0.000009,0.000014,0.000021,-0.000012,-0.000009,0.000014,0.000021,nan,nan,nan,nan,nan,nan,-1,stationary,1674,24000,0
11,1952.899509,-0.000018,-0.000013,0.000017,0.000040,-0.000018,-0.000013,0.000017,0.000040,nan,nan,nan,nan,nan,nan,-1,stationary,1715,24000,0
12,1952.999356,-0.000018,-0.000015,0.000014,0.000034,-0.000018,-0.000015,0.000014,0.000034,nan,nan,nan,nan,nan,nan,-1,stationary,1763,24000,0
13,1953.099604,-0.000018,-0.000016,0.000014,0.000025,-0.000018,-0.000016,0.000014,0.000025,nan,nan,nan,nan,nan,nan,-1,stationary,1791,24000,0
14,1953.199446,-0.000014,-0.000017,0.000011,-0.000030,-0.000014,-0.000017,0.000011,-0.000030,nan,nan,nan,nan,nan,nan,-1,stationary,1801,24000,0
15,1953.299291,-0.000020,-0.000014,0.000013,-0.000210,-0.000020,-0.000014,0.000013,-0.000210,nan,nan,nan,nan,nan,nan,-1,stationary,1803,24000,0
16,1953.399912,-0.000018,-0.000020,0.000017,-0.000203,-0.000018,-0.000020,0.000017,-0.000203,nan,nan,nan,nan,nan,nan,-1,stationary,1808,24000,0
17,1953.499759,-0.000045,-0.000024,0.000021,-0.000098,-0.000045,-0.000024,0.000021,-0.000098,nan,nan,nan,nan,nan,nan,-1,stationary,1814,24000,0
18,1953.599598,-0.000032,-0.000008,0.000020,-0.000250,-0.000032,-0.000008,0.000020,-0.000250,nan,nan,nan,nan,nan,nan,-1,stationary,1820,24000,0
19,1953.699431,-0.000026,-0.000015,0.000019,-0.000118,-0.000026,-0.000015,0.000019,-0.000118,nan,nan,nan,nan,nan,nan,-1,stationary,1822,24000,0
20,1953.799668,-0.000031,-0.000025,0.000020,-0.000111,-0.000031,-0.000025,0.000020,-0.000111,nan,nan,nan,nan,nan,nan,-1,stationary,1715,24000,0
21,1953.899504,-0.000025,-0.000021,0.000021,-0.000210,-0.000025,-0.000021,0.000021,-0.000210,nan,nan,nan,nan,nan,nan,-1,stationary,1717,24000,0
22,1953.999350,-0.000025,-0.000030,0.000027,-0.000198,-0.000025,-0.000030,0.000027,-0.000198,nan,nan,nan,nan,nan,nan,-1,stationary,1725,24000,0
23,1954.099600,-0.000045,-0.000029,0.000061,-0.000241,-0.000045,-0.000029,0.000061,-0.000241,nan,nan,nan,nan,nan,nan,-1,stationary,1745,24000,0
24,1954.199424,-0.000038,-0.000028,0.000061,-0.000211,-0.000038,-0.000028,0.000061,-0.000211,nan,nan,nan,nan,nan,nan,-1,stationary,1789,24000,0
25,1954.299665,-0.000046,-0.000024,0.000060,-0.000156,-0.000046,-0.000024,0.000060,-0.000156,nan,nan,nan,nan,nan,nan,-1,stationary,1827,24000,0
26,1954.399500,-0.000029,-0.000035,0.000058,-0.000076,-0.000029,-0.000035,0.000058,-0.000076,nan,nan,nan,nan,nan,nan,-1,stationary,1837,24000,0
27,1954.499329,-0.000036,-0.000038,0.000059,-0.000063,-0.000036,-0.000038,0.000059,-0.000063,nan,nan,nan,nan,nan,nan,-1,stationary,1840,24000,0
28,1954.599970,-0.000034,-0.000034,0.000059,-0.000112,-0.000034,-0.000034,0.000059,-0.000112,nan,nan,nan,nan,nan,nan,-1,stationary,1842,24000,0
29,1954.699816,-0.000036,-0.000039,0.000065,-0.000089,-0.000036,-0.000039,0.000065,-0.000089,nan,nan,nan,nan,nan,nan,-1,stationary,1844,24000,0
30,1954.799654,-0.000037,-0.000038,0.000067,-0.000018,-0.000037,-0.000038,0.000067,-0.000018,nan,nan,nan,nan,nan,nan,-1,stationary,1847,24000,0
31,1954.899494,-0.000029,-0.000037,0.000064,0.000047,-0.000029,-0.000037,0.000064,0.000047,nan,nan,nan,nan,nan,nan,-1,stationary,1848,24000,0
32,1954.999337,-0.000033,-0.000040,0.000062,0.000095,-0.000033,-0.000040,0.000062,0.000095,nan,nan,nan,nan,nan,nan,-1,stationary,1849,24000,0
33,1955.099979,-0.000029,-0.000038,0.000060,0.000103,-0.000029,-0.000038,0.000060,0.000103,nan,nan,nan,nan,nan,nan,-1,stationary,1850,24000,0
34,1955.199829,-0.000031,-0.000038,0.000059,0.000173,-0.000031,-0.000038,0.000059,0.000173,nan,nan,nan,nan,nan,nan,-1,stationary,1854,24000,0
35,1955.299679,-0.000018,-0.000039,0.000062,-0.000022,-0.000018,-0.000039,0.000062,-0.000022,nan,nan,nan,nan,nan,nan,-1,stationary,1876,24000,0
36,1955.399515,-0.000011,-0.000040,0.000062,0.000086,-0.000011,-0.000040,0.000062,0.000086,nan,nan,nan,nan,nan,nan,-1,stationary,1925,24000,0
37,1955.499358,-0.000025,-0.000032,0.000061,0.000244,-0.000025,-0.000032,0.000061,0.000244,nan,nan,nan,nan,nan,nan,-1,stationary,1972,24000,0
38,1955.599600,-0.000027,-0.000053,0.000067,0.000171,-0.000027,-0.000053,0.000067,0.000171,nan,nan,nan,nan,nan,nan,-1,stationary,1996,24000,0
39,1955.699435,0.000034,-0.000036,0.000066,0.000255,0.000034,-0.000036,0.000066,0.000255,nan,nan,nan,nan,nan,nan,-1,stationary,2006,24000,0
40,1955.799669,-0.000026,-0.000029,0.000061,0.000448,-0.000026,-0.000029,0.000061,0.000448,nan,nan,nan,nan,nan,nan,-1,stationary,1829,24000,0
41,1955.899516,-0.000047,-0.000032,0.000065,0.000441,-0.000047,-0.000032,0.000065,0.000441,nan,nan,nan,nan,nan,nan,-1,stationary,1837,24000,0
42,1955.999354,-0.000007,-0.000004,0.000065,0.000178,-0.000007,-0.000004,0.000065,0.000178,nan,nan,nan,nan,nan,nan,-1,stationary,1837,24000,0
43,1956.099994,-0.000012,-0.000023,0.000068,0.000380,-0.000012,-0.000023,0.000068,0.000380,nan,nan,nan,nan,nan,nan,-1,stationary,1838,24000,0
44,1956.199832,-0.000000,-0.000019,0.000066,0.000472,-0.000000,-0.000019,0.000066,0.000472,nan,nan,nan,nan,nan,nan,-1,stationary,1838,24000,0
45,1956.299680,0.000003,-0.000004,0.000065,0.000463,0.000003,-0.000004,0.000065,0.000463,nan,nan,nan,nan,nan,nan,-1,stationary,1842,24000,0
46,1956.399509,-0.000017,-0.000017,0.000070,0.000533,-0.000017,-0.000017,0.000070,0.000533,nan,nan,nan,nan,nan,nan,-1,stationary,1843,24000,0
47,1956.499352,0.000005,-0.000017,0.000067,0.000313,0.000005,-0.000017,0.000067,0.000313,nan,nan,nan,nan,nan,nan,-1,stationary,1866,24000,0
48,1956.599978,-0.000021,-0.000004,0.000067,0.000777,-0.000021,-0.000004,0.000067,0.000777,nan,nan,nan,nan,nan,nan,-1,stationary,1913,24000,0
49,1956.699822,0.000008,-0.000003,0.000069,0.000309,0.000008,-0.000003,0.000069,0.000309,nan,nan,nan,nan,nan,nan,-1,stationary,1964,24000,0
50,1956.799662,-0.000017,-0.000022,0.000064,0.000798,-0.000017,-0.000022,0.000064,0.000798,nan,nan,nan,nan,nan,nan,-1,stationary,1996,24000,0
51,1956.899516,0.000108,-0.000056,0.000027,0.000063,0.000108,-0.000056,0.000027,0.000063,nan,nan,nan,nan,nan,nan,-1,stationary,1998,24000,0
52,1956.999363,-0.000005,-0.000013,0.000035,0.001451,-0.000005,-0.000013,0.000035,0.001451,nan,nan,nan,nan,nan,nan,-1,stationary,2000,24000,0
53,1957.099993,0.000011,-0.000041,0.000035,0.002963,0.000011,-0.000041,0.000035,0.002963,nan,nan,nan,nan,nan,nan,-1,stationary,2000,24000,0
54,1957.199826,-0.000334,0.000113,0.000044,0.003729,-0.000334,0.000113,0.000044,0.003729,nan,nan,nan,nan,nan,nan,-1,stationary,2000,24000,0
55,1957.299666,0.000093,-0.000026,0.000028,0.004793,0.000093,-0.000026,0.000028,0.004793,nan,nan,nan,nan,nan,nan,-1,stationary,2003,24000,0
56,1957.399503,0.000055,-0.000038,0.000033,0.005364,0.000055,-0.000038,0.000033,0.005364,nan,nan,nan,nan,nan,nan,-1,stationary,2005,24000,0
57,1957.499354,0.000030,-0.000057,0.000036,0.008623,0.000030,-0.000057,0.000036,0.008623,nan,nan,nan,nan,nan,nan,-1,stationary,2010,24000,0
58,1957.599610,0.000100,-0.000052,0.000025,0.008514,0.000100,-0.000052,0.000025,0.008514,nan,nan,nan,nan,nan,nan,-1,stationary,2014,24000,0
59,1957.699452,0.000183,0.000006,0.000029,0.009773,0.000183,0.000006,0.000029,0.009773,nan,nan,nan,nan,nan,nan,-1,stationary,2037,24000,0
60,1957.799301,0.009119,-0.000392,-0.000361,0.018771,0.003376,0.001820,-0.000046,0.023385,0.01043980526855096,-0.0017118250925685623,-0.002768407090805665,0.009052243569673305,0.9715132273371421,0.006558034374317755,1,mild,1910,24000,1
61,1957.899948,0.019594,-0.002654,-0.000641,0.029849,0.018256,0.001236,-0.000149,0.027437,0.011016816580286236,-0.00468326620142426,-0.0018714580468028425,0.01128932875668139,0.9735162288171331,0.0036923567911431223,1,mild,1967,24000,1
62,1957.999785,0.025357,0.000189,0.000175,0.035253,0.019474,-0.002329,0.000037,0.034637,0.010898087870227474,0.005642084849278068,-0.001037711000083263,0.004869305956431799,0.9781847060869194,0.0398995126742387,1,mild,2008,24000,1
63,1958.099626,0.035052,0.000916,0.000356,0.030432,0.025545,-0.001116,0.000122,0.034458,0.01926254184900784,0.004047769646541223,-0.006789814698653433,-0.005713847014260152,0.9761496689804288,0.11249462687460053,1,mild,2016,24000,1
64,1958.199467,0.051839,-0.001683,-0.000416,0.018037,0.051421,-0.010233,0.000419,0.012778,0.017554068847916375,-0.0008584022433278755,-0.0024638531837814412,-0.012666893845839633,0.9725519096787687,0.008628504587305505,1,mild,2030,24000,1
65,1958.299321,0.063895,-0.011773,-0.000024,0.010913,0.059901,-0.009809,0.000349,0.011751,0.013138885335102837,-0.011082076956991732,-0.0011431583135718048,-0.007096409547966395,0.973538251022694,0.004415206636681004,1,mild,2036,24000,1
